model,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,test_samples
Baseline CNN,0.803178,0.875758,0.706601,0.782138,0.891900,368,41,120,289,818
MobileNetV2,0.936430,0.921986,0.953545,0.937500,0.985760,376,33,19,390,818
